Псковская_область;Псковская область;Псковская область;890;136;136;805;135;122;691;88;104;616;87;92;529;43;78;455;42;66;423;42;60;354;31;50;322;29;45;288;;39;230;14;31;188;12;25;158;11;21;109;9;14;43;6;5;25;5;3;16;3;2;9;1;1;2;1;0;2;1;0;2;1;0
Республика_Адыгея;Адыгея;Республика Адыгея;615;112;138;531;112;119;449;86;101;399;79;91;348;57;79;312;49;71;274;34;63;210;0;48;183;0;41;151;;34;125;0;28;106;0;24;88;0;20;69;0;15;25;0;6;18;0;4;10;0;2;7;0;2;1;0;0;0;0;0;0;0;0
Республика_Алтай;Республика Алтай;Республика Алтай;406;27;192;320;27;152;245;16;118;211;15;102;186;13;91;154;10;75;130;7;64;93;5;46;83;5;41;72;;36;56;3;28;38;2;19;29;2;14;18;1;9;5;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика_Башкортостан;Башкортостан;Республика Башкортостан;20191;3625;496;17422;3452;429;14300;2476;352;12538;2292;308;10335;1778;254;9123;1504;225;7944;707;196;6861;475;169;6348;453;156;5766;;141;5166;251;126;4699;225;115;3875;195;94;2614;130;64;423;29;10;59;10;1;37;9;1;27;7;1;17;5;0;10;2;0;9;2;0
Республика_Бурятия;Бурятия;Республика Бурятия;6270;1425;644;5713;1380;588;5019;1182;517;4654;1040;479;4167;899;430;3692;752;382;3319;594;344;2808;292;291;2580;290;267;2353;;242;2076;191;213;1840;178;188;1649;161;167;1322;144;133;706;91;70;19;4;2;6;3;1;3;2;0;3;2;0;2;1;0;2;1;0
Республика_Дагестан;Дагестан;Республика Дагестан;2421;573;82;2232;506;76;1918;399;65;1740;352;60;1522;285;53;1331;238;47;1146;178;41;901;92;33;796;92;30;627;;24;393;53;15;336;49;13;278;46;11;241;41;10;175;40;7;111;32;5;55;20;2;19;8;1;10;5;0;8;5;0;7;5;0
Республика_Ингушетия;Ингушетия;Республика Ингушетия;1034;272;228;970;273;219;894;203;208;853;202;206;799;131;194;732;131;179;676;105;166;586;69;144;539;61;129;492;;113;469;25;104;432;24;92;358;21;79;256;16;57;69;8;20;8;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Республика_Калмыкия;Калмыкия;Республика Калмыкия;301;111;107;291;109;102;264;93;92;247;92;85;230;88;79;223;83;77;201;79;69;182;72;62;172;72;59;164;;56;150;67;51;145;67;50;139;65;47;132;65;43;125;64;41;117;63;38;113;63;36;110;62;35;103;59;33;101;59;32;98;57;31
Республика_Карелия;Карелия;Республика Карелия;1523;83;240;1367;82;215;1131;81;177;1000;81;156;820;7;126;704;4;108;615;2;93;438;0;66;386;0;57;307;;45;243;0;35;179;0;25;145;0;20;110;0;15;53;0;7;13;0;2;9;0;1;4;0;1;4;0;1;1;0;0;0;0;0
Республика_Коми;Коми;Республика Коми;2374;309;272;2037;308;231;1774;222;199;1625;179;181;1408;177;154;1255;145;136;1141;102;122;936;52;99;858;51;89;725;;74;586;44;59;479;40;47;374;33;36;191;29;18;95;23;9;44;16;4;33;15;3;18;11;2;11;9;1;7;7;1;6;6;1
Республика_Марий_Эл;Марий Эл;Республика Марий Эл;1577;235;229;1286;231;186;1055;199;152;975;176;140;892;139;128;784;108;112;690;82;98;588;50;83;522;50;73;465;;65;395;26;55;340;19;47;298;16;41;195;10;26;14;3;2;10;2;1;4;1;1;3;1;0;0;0;0;0;0;0;0;0;0
